::1 - - [20/Feb/2019:11:43:10 +0000] "GET / HTTP/1.1" 200 26 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [20/Feb/2019:11:43:11 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [20/Feb/2019:11:43:26 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [21/Feb/2019:02:12:34 +0000] "GET / HTTP/1.1" 200 26 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [21/Feb/2019:02:12:34 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [21/Feb/2019:02:14:08 +0000] "GET / HTTP/1.1" 200 30 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [21/Feb/2019:02:14:24 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [21/Feb/2019:02:14:53 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [21/Feb/2019:02:15:02 +0000] "GET / HTTP/1.1" 200 26 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [21/Feb/2019:02:34:03 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::1 - - [21/Feb/2019:02:34:11 +0000] "GET / HTTP/1.1" 200 31 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::ffff:172.29.0.1 - - [21/Feb/2019:02:44:52 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::ffff:172.29.0.1 - - [21/Feb/2019:02:45:32 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
GET / 304 - - 9.855 ms
GET / 304 - - 7.691 ms
::ffff:172.29.0.1 - - [21/Feb/2019:02:49:24 +0000] "GET / HTTP/1.1" 304 -
::ffff:172.29.0.1 - - [21/Feb/2019:02:50:06 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
::ffff:172.29.0.1 - - [21/Feb/2019:02:53:49 +0000] "POST /notes HTTP/1.1" 200 159 "-" "PostmanRuntime/7.6.0"
::ffff:172.29.0.1 - - [21/Feb/2019:03:02:05 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36" - 9
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 03:03:48 GMT] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36" Parameter - Response Time 7 ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 03:08:21 GMT] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36" Parameter [object Object] Response Time 10ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 03:09:37 GMT] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36" Parameter {} Response Time 9ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 03:09:46 GMT] "POST /notes HTTP/1.1" 200 159 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 133ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 03:52:36 GMT] "GET /notes HTTP/1.1" 200 808 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 111ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 03:54:37 GMT] "GET /notes HTTP/1.1" 200 808 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36" Parameter {} Response Time 17ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:03:12 GMT] "POST /notes HTTP/1.1" 500 629 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 64ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:03:37 GMT] "POST /notes HTTP/1.1" 500 629 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 63ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:04:16 GMT] "POST /notes HTTP/1.1" 500 629 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 64ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:05:00 GMT] "POST /notes HTTP/1.1" 500 637 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 62ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:06:10 GMT] "POST /notes HTTP/1.1" 500 637 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 52ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:07:31 GMT] "POST /notes HTTP/1.1" 400 13 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 64ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:08:06 GMT] "POST /notes HTTP/1.1" 400 2 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 62ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:08:37 GMT] "POST /notes HTTP/1.1" 400 116 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 42ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:08:55 GMT] "POST /notes HTTP/1.1" 400 127 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 46ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:09:26 GMT] "POST /notes HTTP/1.1" 500 637 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 75ms
::ffff:172.29.0.1 - - [Thu, 21 Feb 2019 04:12:17 GMT] "POST /notes HTTP/1.1" 400 127 "-" "PostmanRuntime/7.6.0" Parameter {"title":"Anh","content":"im developer"} Response Time 53ms
